id,checked_at,completeness,uniqueness,validity,timeliness,referential_integrity,composite_score,status
1,2026-08-31T11:12:42.009351+00:00,100.0,100.0,100.0,100.0,100.0,100.0,PASS
2,2026-08-31T11:18:56.919072+00:00,100.0,100.0,100.0,100.0,100.0,100.0,PASS
3,2026-08-31T11:25:10.352988+00:00,100.0,100.0,100.0,100.0,100.0,100.0,PASS
4,2026-08-31T11:26:07.398035+00:00,100.0,100.0,100.0,100.0,100.0,100.0,PASS
5,2026-08-31T11:26:25.286024+00:00,100.0,100.0,100.0,100.0,100.0,100.0,PASS
6,2026-08-31T12:37:57.719636+00:00,100.0,100.0,100.0,100.0,100.0,100.0,PASS
7,2026-09-02T18:14:00.528637+00:00,100.0,100.0,100.0,100.0,100.0,100.0,PASS
8,2026-09-02T18:17:32.400682+00:00,100.0,100.0,100.0,100.0,100.0,100.0,PASS
9,2026-09-02T19:29:41.784548+00:00,100.0,100.0,100.0,100.0,100.0,100.0,PASS
